type;auteur;annee;lien;titre;
thèse;N. Forcadel;2007;https://theses.fr/2007ENPC0711;Contribution à l'analyse d'équations aux dérivées partielles décrivant le mouvement de fronts avec applications à la dynamique des dislocations;
thèse;S. Meunier;2007;https://theses.fr/2007ENPC0717;Analyse d'erreur a postériori pour les couplages hydro-mécaniques et mise en oeuvre dans code_aster;
thèse;A. Stephansen;2007;https://theses.fr/2007ENPC0722;Méthodes de Galerkine discontinues et analyse d'erreur a posteriori pour les problèmes de diffusion hétérogène;
thèse;A. El Hajj;2007;https://theses.fr/2007MARN0373;Analyse théorique et numérique de la dynamique des densités de dislocations;
thèse;A. Bouquet;2007;https://theses.fr/2007NICE4090;Caractérisation de structures rayonnantes par une méthode Galerkin discontinu associée à une technique de domaines fictifs;
thèse;M. Benjemaa;2007;https://theses.fr/2007NICE4094;Étude et simulation numérique de la rupture dynamique des séismes par des méthodes d'éléments finis discontinus;
thèse;A. Dallagi;2007;https://theses.fr/2007PA010003;Méthodes particulaires en commande optimale stochastique;
thèse;H. Ibrahim;2008;https://theses.fr/2008ENPC0809;Analysis of parabolic/Hamilton-Jacobi systems modelizing the dynamics of dislocation densities in a bounded domain;
thèse;S. Scotti;2008;https://theses.fr/2008PEST0255;Dirichlet forms methods in finance;
thèse;B. Seck;2008;https://theses.fr/2008ENPC0812;From Risk Constraints in Stochastic Optimization Problems to Utility Functions;
thèse;P. Sochala;2008;https://theses.fr/2008ENPC0813;Méthodes numériques pour les écoulements souterrains et couplage avec le ruissellement;
thèse;A. Deleurence;2008;https://theses.fr/2008ENPC0814;Modélisation mathématique et simulation numérique de la structure électronique de cristaux en présence des défauts ponctuels;
thèse;G. Bencteux;2008;https://theses.fr/2008ENPC0817;Improvement of a domain decomposition method for electronic structure computation;
thèse;A. Siri-Jegousse;2009;http://cermics.enpc.fr/cermics-theses/2009/2009/Siri.pdf;Etude des généalogies dans des modèles de génétique des populations;
thèse;P. Sabino;2009;;Monte Carlo and Quasi-Monte Carlo Methods in Option Pricing and Hedging;
thèse;H. Galicher;2009;https://theses.fr/2009PA066641;Analyse mathématique de modèles en nanophysique;
thèse;S. Boyaval;2009;https://theses.fr/2009PEST1040;Mathematical modelling and numerical simulation in materials science;
thèse;M. Sbai;2009;https://theses.fr/2009PEST1046;Modélisation de la dépendance et simulation de processus en finance;
thèse;E. Lioris;2010;https://theses.fr/2010ENPC1009;Evaluation et optimisation de systèmes de taxis collectifs en simulation;
thèse;A. Anantharaman;2010;https://theses.fr/2010PEST1002;Analyse mathématique de quelques modèles en calcul de structures électroniques et homogénéisation;
thèse;D. Doyen;2010;https://theses.fr/2010PEST1019;Méthodes numériques pour des problèmes dynamiques de contact et de fissuration;
thèse;P. Girardeau;2010;https://theses.fr/2010PEST1026;Résolution de grands problèmes en optimisation stochastique dynamique et synthèse de lois de commande;
thèse;K. Minoukadeh;2010;https://theses.fr/2010PEST1034;Deterministic and stochastic methods for molecular simulation;
thèse;R. Roux;2010;https://theses.fr/2010PEST1040;Étude probabiliste de systèmes de particules en interaction : applications à la simulation moléculaire;
thèse;R. Costaouec;2011;https://theses.fr/2011PEST1012;Numerical methods for homogenization: applications to random media;
thèse;L. Monasse;2011;https://theses.fr/2011PEST1039;Analyse d'une méthode éléments finis discrets et couplage avec une méthode d'écoulements fluides compressibles;
thèse;J. Tryoen;2011;https://theses.fr/2011PEST1054;Méthodes de Galerkin stochastiques adaptatives pour la propagation d'incertitudes paramétriques dans les modèles hyperboliques;
thèse;A. Ahdida;2011;https://theses.fr/2011PEST1154;Matrix valued processes: simulation and dependence modelling in finance;
thèse;N. Chalhoub;2012;https://theses.fr/2012PEST1065;A posteriori error estimates for the unsteady advection-diffusion-reaction equation and application to finite volumes;
thèse;L. Abbas-Turki;2012;https://theses.fr/2012PEST1055;Calcul parallèle pour les problèmes linéaires, non-linéaires et linéaires inverses en finance;
thèse;D. Chemla;2012;https://theses.fr/2012PEST1066;Algorithms for optimizing shared mobility systems;
thèse;O. Henard;2012;https://theses.fr/2012PEST1084;Généalogie et Q-processus;
thèse;P. Hoscheit;2012;https://theses.fr/2012PEST1086;Tree-valued random process;
thèse;R. Joubaud;2012;https://theses.fr/2012PEST1088;Modélisation mathématique et numérique des fluides à l’échelle nanométrique;
thèse;V. Ehrlacher;2012;https://theses.fr/2012PEST1073;Modelisation and simulation of photo-electrical phenomena and Uncertainty quantification in contact problems;
thèse;D. El Kass;2012;;Atomic to continuum passage for nanotubes;
thèse;M. Rousseau;2012;https://theses.fr/2012PEST1101;Uncertainties in overland flow and erosion modeling;
thèse;F. Thomines;2012;;Multi-scale numerical approaches: Application to homogenization of random materials and discrete-to-continuum coupling methods;
thèse;F. Casenave;2013;https://theses.fr/2013PEST1076;Non-parametric uncertainties in aeroacoustics and vibroacoustics problems;
thèse;J. Infante-Acevedo;2013;https://theses.fr/2013PEST1086;Greedy algorithms and price impact models;
thèse;M. Jeunesse;2013;https://theses.fr/2013PEST1012;Numerical methods in finance;
thèse;C. Lusso;2013;https://theses.fr/2013PEST1197;Effective vertical velocity profiles in gravitational flows;
thèse;S. Lahbabi;2013;https://theses.fr/2013CERG0628;Etude mathématique de modèles quantiques et classiques pour les matériaux aléatoires à l'échelle atomique;
thèse;J-C. Alais;2013;https://theses.fr/2013PEST1071;Risque et optimisation pour le management d'énergies : application à l'hydraulique;
thèse;M. Al Haj;2014;https://theses.fr/2014PEST1001;Traveling waves and dynamics of particles;
